"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Rmi1",3112.96510270075,-0.494004361643586,0.185257014314353,0.000851857544503045,0.00774319824830662,3376,1975,2534,3327,3639,3602,3898,4527,3188,2226,2107,3154
"Etohd2",112.01766094137,0.776350288059059,0.295907845069081,0.000236685849156231,0.00279926525906734,60,126,104,211,111,70,76,52,97,154,171,146
"Gm9595",347.015144246958,-1.37940787372095,0.433619994956863,1.53770756284263e-05,0.000297730285182337,574,89,252,140,440,535,532,669,442,60,133,225
"Gm7240",133.888940996833,-0.783258190864455,0.467537363867929,0.0027918394049901,0.0192319581088165,179,63,97,50,164,177,198,260,170,28,72,123
"Gm3325",908.594467860437,-0.979198853765362,0.486364527821216,0.000728159472413481,0.00685928839938827,1233,255,637,344,1408,1284,1367,1682,1269,127,347,735
"Zfp808",822.228995713231,-1.08365593189493,0.500694606069299,0.000392341686309162,0.00419531505365467,1283,206,555,270,1196,1069,1178,1631,1204,110,316,651
"2810408B13Rik",622.952102352754,-0.405101818362798,0.146395223653642,0.00122299466995491,0.0102703144710791,650,373,485,781,717,597,819,786,648,528,641,541
"Gm3604",1063.96387095008,-0.827866018190714,0.431899422084599,0.0014176437470623,0.0115398182190021,1627,379,824,490,1494,1260,1495,2005,1402,232,370,990
"Gm21145",137.765457305254,-1.0806943732427,0.462506825278158,0.000262190764540505,0.00304929458771484,161,61,74,79,206,236,192,216,177,27,73,120
"Zfp934",394.723466864552,-1.46393629683732,0.365135589342275,8.87498638296955e-07,2.5390388702249e-05,612,121,246,145,629,495,585,775,565,88,139,244
"6720489N17Rik",743.35980692255,-0.921259331350532,0.287508021965588,2.53882240475411e-05,0.000453463092038236,1040,319,634,601,931,1019,946,1220,807,336,412,613
"Platr25",1985.88514847441,-0.937268621422148,0.370662052186646,0.000213104043920046,0.00258448738979725,2813,763,1503,1178,2611,2743,2753,3605,2319,595,837,1872
"Gm5141",647.950990491802,-0.886321822589486,0.424486076545035,0.000788548314707217,0.0072873819352559,1081,222,546,307,814,902,819,1240,744,163,207,626
"Aopep",11079.7374017893,-0.72196397270969,0.13426441629039,1.82338584678988e-09,1.06503002287847e-07,10754,7872,5497,12608,16128,10009,17035,12344,14001,9450,11077,6328
"Ptch1",14455.3891045899,-0.618657722855832,0.118034297884049,6.67660625084773e-09,3.44131216400192e-07,15672,9043,10743,15315,17456,16515,19268,20237,15849,13099,9584,11735
"Cbx3-ps5",71.5867755120463,-0.60813045382535,0.368727822111071,0.00595508129167419,0.0344474757531355,85,32,31,48,101,68,116,89,113,31,67,66
"LOC118568054",70.2411187615981,-0.644219620335096,0.395825646221594,0.00530649327007686,0.0315754419353694,90,28,31,47,90,65,114,89,116,29,70,62
"LOC118568056",29.4168334663519,-0.798027185777267,0.50252643417024,0.00312417054445231,0.0209835785222999,44,12,14,24,16,38,50,46,40,24,32,14
"Zfp748",3622.47222077977,-0.552827911075906,0.246894872050783,0.00192736086899434,0.0145796645245102,4230,1975,3113,3352,4202,4845,4750,5078,3873,2000,2250,3707
"Zfp729b",3174.32687539555,-0.557971201544007,0.320579451981527,0.00625086062381807,0.0356956144936931,3368,1538,2942,2338,4276,3860,4202,5705,3719,1149,1810,3003
"Zfp85",563.99364104079,-0.569504666612101,0.372798805621997,0.00911261351023381,0.0475921276951663,592,307,502,346,748,747,852,996,695,163,222,515
"Tent4a",10143.9165988081,-0.52271288172921,0.125643668795098,2.82779346435936e-06,7.02503788109118e-05,10593,7521,6699,12240,11412,10656,13158,13279,10193,11250,8922,7338
"Med10",7622.38617522003,0.28928822600022,0.0924578549869619,0.000848605016661951,0.00772661684515174,6116,7006,7345,11448,6262,6180,7066,7624,5774,11335,9396,8485
"Slc6a19",9.20604070367408,1.4354442555281,1.13542045634799,0.000225715035490124,0.00269841424127276,1,7,6,17,10,2,2,0,4,35,15,21
"Tppp",622.361903439515,-1.04421227960665,0.216381245319035,3.01023235226925e-08,1.30957597914386e-06,836,317,312,496,773,918,964,768,768,470,308,478
"Cep72",2751.05404327661,0.49309923430433,0.137626055613954,3.83436788465359e-05,0.000637611896695489,2179,2494,3119,4338,1817,2475,2059,2268,1735,4359,3416,3812
"Erap1",3506.29316694376,-0.345036862211763,0.133368929042117,0.00317733114600508,0.0212691555438976,3292,2438,3131,4248,3982,3484,4441,4691,3679,2914,3094,3076
"Rhobtb3",7581.34854695092,-0.423340394691763,0.199546633218732,0.00603331480961572,0.0347466570290668,8790,4775,6875,7348,8511,9006,9103,11267,7397,5434,4527,8268
"Ttc37",8883.70307929678,-0.485254589882394,0.243086485528741,0.00532828029434264,0.0316818396361045,11124,5080,8500,8097,10770,8792,11608,14099,9805,4943,5430,8295
"Arrdc3",8624.82736120365,1.25091701103978,0.253136768682995,2.02226666956632e-08,9.13898917977074e-07,6065,7632,11097,12956,5176,5813,5215,4437,4268,15178,8533,21015
"5430425K12Rik",4.74704004078038,0.522820855302132,0.74419061816967,0.00937838139174475,0.0485270330925898,0,2,11,4,0,0,4,4,0,10,3,23
"Polr3g",4017.5726836262,-0.4389063364068,0.227467645595288,0.00839743916785411,0.0445899979515657,4426,2679,4099,4176,4752,3761,5699,6137,4390,2519,2713,2941
"Cetn3",8840.47704713522,-0.756304019703155,0.22757479287788,2.29949391893694e-05,0.000418386129531418,11818,4890,6988,6905,10720,9125,12162,14666,10144,5271,5381,7755
"Rasa1",14217.7862890957,-0.678439997543483,0.300447252156041,0.000985341670552371,0.0087106363785045,17249,7906,11317,11231,18582,16832,20220,22405,17222,6079,6955,13232
"Vcan",14734.8262998384,-0.699458625021967,0.295598436848773,0.00066715326181096,0.006379177723171,14768,9731,10268,14408,22966,12195,21868,23280,20876,5885,8680,10554
"Tmem167",13014.5522983086,-0.500908198200741,0.225368363360664,0.00277005811690141,0.0191196012683692,14686,7063,12099,11593,16555,13571,17920,20225,14972,7503,8129,11733
"Zcchc9",5011.72959104264,-0.550848500479217,0.178571379231191,0.000150922961680103,0.00195472735235953,5625,3387,4023,4987,6160,4098,6824,7934,5846,4048,3833,3660
