"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Plekhm2:XR_390780.4-7","Plekhm2","XR_390780.4-7",79.7310800755595,0.00481343213133096,12.0273762714505,0.000524248198118081,0.0656373387848255,10.9643006112893,13.531177814154,0.611371820050211,54,77,45,76,163,92
"Mthfr:NR_027809.1-11","Mthfr","NR_027809.1-11",624.042937815189,0.000901670009676028,11.7313964728553,0.000614544616523891,0.0725262968104364,31.4705682684526,33.6176814146189,0.20018214900775,309,942,301,578,951,781
"Agtrap:NM_001301281.1-4","Agtrap","NM_001301281.1-4",601.867674301709,0.000622163739764167,11.4884048789817,0.000700317141476501,0.0785143449363297,32.1207411698803,33.2215740063466,0.102247557453044,367,697,418,562,1038,682
"Disp3:XR_390748.5-1","Disp3","XR_390748.5-1",1132.12245269884,0.00567460728754301,11.2718286843852,0.000786921717470425,0.0844228754750835,47.9828563717012,40.8969501434645,-0.504596461642524,994,784,1087,769,1895,1486
"Disp3:NR_149755.1-1","Disp3","NR_149755.1-1",1080.32611488095,0.00512961478737988,11.074765813044,0.000875104714716281,0.0898897386435877,46.8379622384137,40.108596321908,-0.48802092097632,943,761,1028,733,1817,1414
"Tardbp:NM_001305425.1-7","Tardbp","NM_001305425.1-7",37276.3174986611,0.000301981601257151,13.2206884643181,0.000276875897433778,0.0432113426194821,156.037049356685,153.44719087736,-0.0948355329330024,44914,29299,38453,62103,22587,29235
"Casz1:XM_006539158.2-16","Casz1","XM_006539158.2-16",331.982810803189,0.00164100634136262,18.5706180061751,1.63724710594049e-05,0.00573306001945076,23.3767503771854,26.2386997784545,0.343190727002298,318,359,269,317,408,356
"Casz1:NM_027195.2-16","Casz1","NM_027195.2-16",429.602439985376,0.00115186378174883,34.0353727197199,5.41192184882173e-09,7.87585741107133e-06,26.2398752230742,29.9911745648483,0.400305756136866,382,455,344,423,546,483
"Pex14:NM_019781.3-3","Pex14","NM_019781.3-3",1507.47680612364,0.00170782251565807,16.6495224119202,4.49616276053263e-05,0.0118546885264853,52.9704076795809,48.5013787689859,-0.285502424648245,1219,1392,1211,1810,2468,1374
"Tmem201:XM_006538820.5-9","Tmem201","XM_006538820.5-9",577.293530734154,0.00292671963472338,13.2758360447326,0.000268848966159622,0.0422941808271575,34.431168775872,30.569585755945,-0.360744848019536,625,450,593,656,706,518
"Tmem201:XM_006538823.5-9","Tmem201","XM_006538823.5-9",375.077068177532,0.00394927823353736,11.1472238699528,0.000841575220241383,0.0882996008117777,28.1532774912999,24.666113475482,-0.394437321948256,410,291,410,406,455,327
