"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Cc2d1b",5423.23268143944,0.254102304514403,0.103310255001834,0.0108686553991402,0.0397323631563058,4549,7608,4309,4642,4023,5709
"Txndc12",5479.0203249989,0.455404092139714,0.144345954474687,0.000694704554995834,0.0043745524966089,5376,9308,4659,5018,4150,7796
"Rab3b",458.201458564702,1.34458367354398,0.217298490162206,8.17496616760682e-12,5.67618760160753e-10,548,940,265,261,263,971
"Gm52702",12.7166807576402,-0.825499204196171,0.566214527945641,0.00711648296944441,0.0284618598867594,6,9,22,15,20,5
"Ttc39aos1",284.057362562952,-0.941956215339064,0.302937212486402,6.65010577844173e-05,0.00064808819366248,142,270,376,427,306,152
"Elavl4",11571.0524298666,-0.964640812528617,0.184560467535526,4.88227501478554e-09,1.84296568212351e-07,7081,10996,17112,16974,14585,8458
"Gm12816",4559.1081355649,0.493849465521317,0.161562277073958,0.000813039905529442,0.0049747983014435,4062,6947,3730,4149,3021,7296
"Cmpk1",8538.97498209344,-0.291301234589965,0.0827013267294154,0.000315160106928308,0.00229864079380163,6109,11143,9207,9959,8165,8156
"Efcab14",6795.13844761029,-0.366062894975996,0.147620897782701,0.00760078626940385,0.0299700803465832,4858,8006,6926,7788,6272,5044
"Tex38",16.042343923443,-1.57773121055411,0.627309292168636,7.37092347307763e-05,0.000704149860168404,7,4,20,26,26,4
"Mob3c",689.442984429059,-0.591768255953113,0.187252975735205,0.000352758673513791,0.00252371089215649,436,729,778,812,750,489
"Mknk1",2634.83184743586,0.559021550582704,0.160997072804182,0.000140539140517005,0.00119795334857767,2412,3883,1615,1873,1554,2596
"Nsun4",1849.26928652108,0.484712260120379,0.163631363918879,0.00114827006848333,0.00658050698716233,1622,3214,1524,1563,1188,2409
"Gm52704",59.4939139169715,-0.905631740021409,0.423851587510399,0.00139458987860227,0.00770773725999236,20,42,71,75,85,43
"Pik3r3",4098.34437825564,-0.813443378343506,0.1618249327212,3.21456719112952e-08,1.00456422400589e-06,2020,3434,4027,4695,3744,2217
"Nasp",14567.3508058799,-0.436232255484569,0.106627703660171,2.08160753255177e-05,0.00025028227264953,10043,16994,16486,17474,14849,13331
"Akr1a1",43678.4754963432,0.543207822173353,0.196065731026548,0.00155691595878522,0.0084228510680514,39269,68410,33108,37047,28201,68454
"Toe1",2925.33742694316,0.42562991436472,0.130553508896925,0.000545207491628543,0.00359737441534264,2597,4512,2288,2515,2110,3817
"Hpdl",295.672935516471,0.456606637783433,0.182018088486416,0.00494483613234481,0.0214542248829171,263,454,236,252,201,428
"Eif2b3",5606.63967542899,0.43981194258891,0.145260003936584,0.00112721064926464,0.00648285246967366,5275,9302,4829,5201,3974,7911
"Btbd19",2607.05420341433,0.688676304175619,0.118212765865442,8.01047530330196e-10,3.69168476120744e-08,2514,4197,1809,1908,1664,3477
"Plk3",7208.28003723137,1.60504619493884,0.176087669254247,1.96523283513846e-21,4.90582944285932e-19,8942,14673,3060,3753,2981,11683
"Rps8",90532.2564612303,0.395649585173387,0.169298680204187,0.00999127153134534,0.0372059976453171,82842,143530,77422,85619,65228,132303
"Tmem53",133.927752350824,1.83879976955807,0.284467555084578,2.50858954157567e-12,1.97013535944945e-10,155,248,56,44,36,216
"Dmap1",4364.701732312,0.36801611188589,0.165027591975955,0.0144835187499201,0.04980401847607,3888,7041,3794,4153,3311,6427
"Slc6a9",4521.73973605049,0.884105127420628,0.107914406066015,1.0397859790514e-17,1.73041842815307e-15,4774,8254,3127,3216,2543,6128
"Kdm4a",11737.1523491401,0.700845099469065,0.0937534302303942,1.01945886042079e-14,1.12510699179808e-12,11694,20148,8619,9181,7276,15516
"Hyi",871.44998340845,0.680365825931716,0.166574508341582,6.30111024011686e-06,9.26563678997268e-05,938,1325,683,679,537,1353
"Med8",8061.00301395603,0.343350190511268,0.125824990277727,0.00400516433429072,0.0181078678149509,7458,12435,6979,7619,6233,10884
"Gm12865",67.5591333484021,1.06819938158999,0.404513988155425,0.00019345370940963,0.00155184806144244,78,124,37,45,20,108
"Slc2a1",5934.05729683434,1.3968287581207,0.160762399696084,5.72239788726144e-20,1.19992961297985e-17,7033,11120,2670,3367,2760,9094
"Zmynd12",34.6253623575637,0.944527971631874,0.559139493701436,0.00306194349169515,0.0146088493918898,35,44,6,25,10,70
"Frg2f1",381.648665216344,0.655314946614786,0.235072977368207,0.000808108526150123,0.00495040247877357,337,538,236,220,170,375
"Cited4",43.5034971426923,0.833769878493145,0.612981990977826,0.00741863670830225,0.029395576934314,54,68,14,20,12,68
"Kcnq4",148.789509231533,1.06506724300817,0.39818636048314,0.000176089468547655,0.00144178838968207,279,422,127,115,107,363
"Rims3",24041.7341263618,1.32410913025416,0.275677426194101,1.9958762455957e-08,6.62207737245195e-07,31105,53167,13494,14690,11688,42682
"Zmpste24",9681.63619390841,-0.333889623081117,0.129010543637912,0.00621112211834887,0.0256632324032626,7068,12356,10723,11380,9624,8714
"Rlf",4599.87560164963,-0.630527853792606,0.243486082870232,0.0016401572310271,0.00879152785721043,2849,4465,5251,5318,4903,2761
