"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm31523",0,NA,NA,NA,NA
"4930444P10Rik",10.3566792578356,-0.00477593380694195,0.148535215573253,0.833903814147725,0.954640703799245
"Rpl7",208262.767303906,-0.098431512451096,0.0755295051404786,0.132237644220287,0.451943682223038
"Rdh10",3726.10951359894,-0.142777854270094,0.0928709321597641,0.0583796910745568,0.292681834426258
"Stau2",10822.4505884139,-0.219035671044773,0.102712142695488,0.00979931860253571,0.0953073698994306
"Gm7568",0,NA,NA,NA,NA
"C130013N14Rik",30.4294503192712,-0.0154495688394453,0.145249209102456,0.703327108702574,0.909522282734733
"Ube2w",12642.2974182198,-0.0621342261241974,0.0893062724685189,0.389591214046657,0.732431734287995
"Eloc",24165.5406705147,-0.0276202186067724,0.0933272568774776,0.707251101348499,0.911264039951345
"D030040B21Rik",6.07753208535109,-0.00941269322688667,0.149088075036508,0.66493187934192,NA
"Tmem70",9445.30892253827,-0.144387150012644,0.0919669185747072,0.0539489578789102,0.280743510415757
"Ly96",157.305305641736,0.0268850635329279,0.131772743311786,0.687728303409371,0.902424286766138
"LOC118567657",5.22164131383677,0.00573891924677708,0.149921770670077,0.648136950539015,NA
"Jph1",0.635692173929772,-0.000283828478845668,0.150051151721226,0.973586341444447,NA
"Gm46085",0,NA,NA,NA,NA
"Gm31982",0,NA,NA,NA,NA
"Gdap1",4107.45654628644,0.0101601135565927,0.125820128685138,0.908612330815133,0.976605096147492
"Gm28784",1.39424899137057,0.00353555125843408,0.150186643440145,0.604094564346714,NA
"Gm39597",0,NA,NA,NA,NA
"Pi15",0.157037831324116,-0.00295623561351659,0.150267063001697,0.794255806401485,NA
"Gm28154",0,NA,NA,NA,NA
"Gm16070",0,NA,NA,NA,NA
"Crispld1",0,NA,NA,NA,NA
"Crisp4",0,NA,NA,NA,NA
"Defb44-ps",0,NA,NA,NA,NA
"Defb18",1.22977560081455,0.00467034298560519,0.150355789725745,0.332113757373818,NA
"Defb41",57.6845453082142,0.00481050439236074,0.150373279324045,NA,NA
"Gm28343",3.58430312272574,0.0107159773842957,0.149671212641523,0.56626738552385,NA
"Gm15825",0,NA,NA,NA,NA
"Tfap2d",2.16006751859705,0.0111706865445083,0.150827377161266,0.082888810734214,NA
"Tfap2b",0.44451238316721,0.00377172133825338,0.150304271445973,0.576156772713305,NA
"Gm32651",0,NA,NA,NA,NA
"Pkhd1",0.989995248260026,-0.00384253601846533,0.15014275666185,0.629170940120125,NA
"4930486I03Rik",0,NA,NA,NA,NA
"Gm24162",0,NA,NA,NA,NA
"Lincmd1",0,NA,NA,NA,NA
"Mir206",0,NA,NA,NA,NA
"Mir133b",0,NA,NA,NA,NA
"Il17a",0,NA,NA,NA,NA
"Il17f",196.473655997963,-0.0282856514839219,0.126149827012791,0.68892915673058,0.903122639084032
"Mcm3",61480.9874101041,-0.0872617374505117,0.0990303732322903,0.31206135001794,0.669097303967698
"Gm24723",0,NA,NA,NA,NA
"6720483E21Rik",99.4439143500649,0.0357398796297844,0.138818140223887,0.563836114370337,0.844343170268292
"Paqr8",2206.90857434566,0.0495855257899563,0.139822423580379,0.437984764125625,0.767136557959099
"Gm24171",0,NA,NA,NA,NA
"Gm51618",1.35722195398228,-0.0040402592762274,0.149927604509176,0.718464075224457,NA
"Efhc1",215.011075560517,0.170571287484631,0.246428841312131,0.0498916354819578,0.268853567983684
"Tram2",464.495021047386,-0.0459642043859816,0.117111533108572,0.544996072275033,0.83359118743676
