"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Usp36:81","Usp36","81",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:103","Usp36","103",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:125","Usp36","125",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:147","Usp36","147",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:170","Usp36","170",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:191","Usp36","191",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:208","Usp36","208",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:229","Usp36","229",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:250","Usp36","250",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Timp2:5","Timp2","5",7051.59639738015,0.000209279608868955,37.3525095688002,9.85939296668035e-10,4.11068401285209e-06,117.98595862495,114.430300087008,-0.102742326816006,5663,6120,7027,6907,12489,5460
"Rbfox3:132","Rbfox3","132",5.50957525579427,0.106352966562607,11.8900328699445,0.000564351255738266,0.0736491473627279,6.29976965455614,1.67513561765679,-3.8227087298399,6,14,1,10,1,1
"Rbfox3:147","Rbfox3","147",18.9970889536379,0.203173950042277,12.7023257337652,0.000365201084121946,0.0584629704223788,11.4747632841835,3.25502978367047,-3.63763081378409,16,37,11,32,2,14
"Rbfox3:162","Rbfox3","162",18.9970889536379,0.203173950042277,12.7023257337652,0.000365201084121946,0.0584629704223788,11.4747632841835,3.25502978367047,-3.63763081378409,16,37,11,32,2,14
"Rbfox3:354","Rbfox3","354",5.50957525579427,0.106352966562607,11.8900328699445,0.000564351255738266,0.0736491473627279,6.29976965455614,1.67513561765679,-3.82270872983989,6,14,1,10,1,1
"Rbfox3:369","Rbfox3","369",18.9970889536379,0.203173950042277,12.7023257337652,0.000365201084121946,0.0584629704223788,11.4747632841835,3.25502978367047,-3.63763081378409,16,37,11,32,2,14
"Ccdc40:4","Ccdc40","4",11.4148224162088,0.0398772342393774,12.6560211109355,0.000374358076029818,0.0593131249601344,6.34478355631018,3.3023063248404,-1.88472430793864,3,18,3,17,9,18
"Ccdc40:21","Ccdc40","21",11.4148224162088,0.0398772342393774,12.6560211109355,0.000374358076029818,0.0593131249601344,6.34478355631018,3.3023063248404,-1.88472430793864,3,18,3,17,9,18
"Ccdc40:42","Ccdc40","42",11.4148224162088,0.0398772342393774,12.6560211109355,0.000374358076029818,0.0593131249601344,6.34478355631018,3.3023063248404,-1.88472430793864,3,18,3,17,9,18
"Ccdc40:63","Ccdc40","63",11.4148224162088,0.0398772342393774,12.6560211109355,0.000374358076029818,0.0593131249601344,6.34478355631018,3.3023063248404,-1.88472430793864,3,18,3,17,9,18
"A930037H05Rik:1","A930037H05Rik","1",47.727052085228,0.00665648720826676,21.915447949292,2.84930988532281e-06,0.00196658809254224,11.5764169142667,8.78272023830311,-0.797925511528091,34,61,33,55,36,64
"A930037H05Rik:4","A930037H05Rik","4",387.866600976433,0.00901830013240183,11.5753184206135,0.000668329904226752,0.0824102523887589,27.5288130597847,31.3156551981427,0.375900998705959,480,370,440,353,379,305
"Baiap2:101","Baiap2","101",399.102140887881,0.00073052051437785,17.5967614509142,2.73052952528192e-05,0.0107362646995937,28.1116017133296,31.2715163807728,0.310750148702885,541,288,401,390,467,326
"Baiap2:115","Baiap2","115",399.102140887881,0.00073052051437785,17.5967614509142,2.73052952528192e-05,0.0107362646995937,28.1116017133296,31.2715163807728,0.310750148702883,541,288,401,390,467,326
"Nploc4:2","Nploc4","2",2580.81107489409,0.000297608942697039,16.2873069755804,5.44273179841938e-05,0.0163341880591684,72.0497929317731,75.6198321237671,0.148938849344583,2596,2505,2562,2808,3032,2138
"Nploc4:18","Nploc4","18",2580.81107489409,0.000297608942697039,16.2873069755804,5.44273179841938e-05,0.0163341880591684,72.0497929317731,75.6198321237671,0.148938849344583,2596,2505,2562,2808,3032,2138
"Nploc4:36","Nploc4","36",2580.81107489409,0.000297608942697039,16.2873069755804,5.44273179841938e-05,0.0163341880591684,72.0497929317731,75.6198321237671,0.148938849344583,2596,2505,2562,2808,3032,2138
"Nploc4:53","Nploc4","53",2580.81107489409,0.000297608942697039,16.2873069755804,5.44273179841938e-05,0.0163341880591684,72.0497929317731,75.6198321237671,0.148938849344583,2596,2505,2562,2808,3032,2138
"Alyref:7","Alyref","7",6841.87169930453,0.000437913528038572,12.5208777790623,0.000402429782441337,0.0625958692591594,116.830233847913,112.500864786277,-0.126330692702071,6792,6562,5885,8340,7787,6096
"Alyref:13","Alyref","13",6835.14298826025,0.000432106109263532,12.7574197650498,0.000354599714324609,0.05746041574946,116.789953723066,112.443881596961,-0.126857666037047,6778,6560,5881,8332,7782,6089
"Dus1l:14","Dus1l","14",2241.61746607499,0.000254485956302753,13.435500526074,0.0002469070991826,0.0452755385799222,67.6940495438823,70.5720815225445,0.127242729636363,2136,2082,2345,2439,2872,1772
"Dus1l:66","Dus1l","66",2241.61746607499,0.000254485956302753,13.435500526074,0.0002469070991826,0.0452755385799222,67.6940495438823,70.5720815225445,0.127242729636365,2136,2082,2345,2439,2872,1772
"Dus1l:94","Dus1l","94",2241.61746607499,0.000254485956302753,13.435500526074,0.0002469070991826,0.0452755385799222,67.6940495438823,70.5720815225445,0.127242729636365,2136,2082,2345,2439,2872,1772
"Dus1l:121","Dus1l","121",2241.75076973372,0.000255273075665964,13.4508014980927,0.000244901534697489,0.0449810476960213,67.6939580956042,70.5763515317382,0.12743218267202,2136,2082,2345,2439,2873,1772
"Dus1l:135","Dus1l","135",2282.32526217028,0.000229470667020131,14.1557658859821,0.000168280576152586,0.0349254484185944,68.2808517821011,71.1664002236698,0.126614036250224,2171,2122,2385,2476,2930,1810
"Csnk1d:1","Csnk1d","1",3910.30923810851,0.000221813221438917,18.6550852011632,1.56628960158648e-05,0.00690365139495194,87.7083781271931,91.1859044951425,0.123214212243894,3942,3726,4046,4074,4905,3073
"Csnk1d:11","Csnk1d","11",3910.30923810851,0.000221813221438917,18.6550852011632,1.56628960158648e-05,0.00690365139495194,87.7083781271959,91.1859044951411,0.123214212243751,3942,3726,4046,4074,4905,3073
"Csnk1d:21","Csnk1d","21",3910.30923810851,0.000221813221438917,18.6550852011632,1.56628960158648e-05,0.00690365139495194,87.7083781271959,91.1859044951411,0.123214212243751,3942,3726,4046,4074,4905,3073
"Csnk1d:30","Csnk1d","30",3910.30923810851,0.000221813221438917,18.6550852011632,1.56628960158648e-05,0.00690365139495194,87.7083781271959,91.1859044951411,0.123214212243751,3942,3726,4046,4074,4905,3073
