"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Nkain4",107.414086048243,1.03465095026971,0.706858753406517,0.000353404870745567,0.0120145637115929,88,20,89,66,20,437,40,152,34,122,22,216
"Pkia",1093.40746889542,1.15731186329435,0.463101587525044,4.72759472068312e-05,0.00274698844240263,1937,498,1781,759,328,1056,777,2631,584,2055,276,913
"Gm52609",14.6194387234092,1.85736484660901,1.21036901328,4.59001055037116e-05,0.00270491821848016,31,0,13,4,5,39,10,18,4,24,2,28
"Gucy1a1",744.450065788384,0.669382998726573,0.372762945972716,0.000560271011901036,0.0164209867810544,1307,282,715,345,710,735,803,2261,598,597,220,514
"Cd1d1",1168.04308813795,0.509847810119673,0.209907763492735,0.000220134996973845,0.00848705720847178,1385,759,1489,1048,1067,1338,1101,1753,836,1255,713,1446
"Pear1",759.530693434102,0.942452861198436,0.293101774282736,7.77025403396305e-06,0.000674358855415645,892,603,1131,788,197,683,351,984,309,1837,438,1300
"Bglap2",37.5118821556437,1.04375480617378,0.997397109356197,0.000399493257672646,0.0129739888379516,32,4,16,18,8,75,9,14,25,76,14,175
"Rab13",1412.19325453688,-0.416715309757207,0.216659725107566,0.00146478555698998,0.0313805687340449,817,1271,1238,2180,1585,1064,1613,1784,1210,1282,2154,1121
"Gm24920",18.8707428905894,-0.742614099567725,0.590865138006957,0.00121123107170652,0.0278187586795658,10,33,5,42,18,9,26,11,14,21,31,11
"H2ac20",107.950193163349,-0.586053657771086,0.270969878821954,0.000297472717427885,0.0104602690895547,58,121,75,194,125,70,117,72,97,137,180,78
"n-THgtg7",340.550078823877,-0.603012620084305,0.36575399117317,0.000977153968392763,0.0241308059246995,269,352,174,481,394,274,336,233,306,447,687,195
"n-THgtg9",348.701585802961,-0.561994060871115,0.358469720026652,0.00136946472495854,0.0302213327508631,282,355,177,497,406,274,352,243,309,469,690,199
"Hjv",104.835329587251,-1.12652077556353,0.45084487822938,4.95041649064585e-05,0.00282811608758325,52,144,76,224,116,25,132,52,80,114,242,32
"Gm33162",17.4892602903993,1.13184754126616,0.70891962316217,0.000228075934221918,0.0086751265066919,31,4,36,7,5,29,8,29,2,28,10,26
"Syt6",88.9795204429445,0.698878241867704,0.663687636729597,0.0016198942347327,0.0337119825687484,152,33,40,44,30,285,31,60,44,155,16,182
"Ppm1j",676.130556460348,-0.530039597909503,0.242159156017441,0.000365882564373784,0.0122733139809265,222,839,485,1402,608,321,655,361,459,793,1334,905
"Inka2",615.862134118838,1.15895200013975,0.16781376878615,2.52189637593952e-13,3.2146297867054e-10,1110,218,530,342,508,921,629,1205,465,666,214,658
"2010016I18Rik",97.0107930537081,0.77139922226117,0.63357981777254,0.0011157099055522,0.026397799911528,64,43,170,50,65,104,68,187,82,40,44,259
"Dennd2d",1930.99809481822,0.42866788791747,0.195358610495487,0.000717538081035712,0.0193063181566271,1247,1511,2935,2853,820,1843,1023,1822,840,3224,2124,3888
"Sort1",16346.9325889672,-0.474816454737168,0.157889644923821,5.36789845983393e-05,0.00301593082887915,13785,14671,12436,24995,19201,10707,21194,18474,17797,16317,18596,10867
"Dpyd",3141.51021133214,0.471356049787997,0.101041982682177,9.03185710997389e-08,2.04671917508797e-05,3616,1726,3232,2970,2771,4044,3121,5115,2497,3893,2267,3153
"Bcar3",394.249112988949,0.581771940514859,0.240664441541854,0.000152398950772989,0.00651609350317632,348,322,607,497,135,262,180,498,173,987,382,587
"Mcub",4207.27414926229,-0.431913470467149,0.207318718123589,0.000908602850608836,0.0230081880011088,2729,4518,3893,7625,3967,2338,3881,4037,3233,5897,6974,2977
"Gm26691",58.3568560922628,1.15164809722771,0.573566350800283,0.000121877744646825,0.00548718896704637,113,12,60,24,85,53,58,93,85,36,10,60
"Manba",2798.79809470212,-0.628568568123785,0.147943153463321,1.64748849378011e-07,3.36005278306454e-05,1920,2358,1993,4221,3627,1987,3965,3243,3196,2220,3339,1928
"Dapp1",13.1348732305362,0.903549270335935,0.8658738732141,0.000657455589870631,0.0182770734652657,20,4,10,4,4,28,2,20,2,20,4,44
"Clca3a2",33.7438837925053,1.31502707576724,0.765778143100684,0.000117713681960825,0.00534692771401118,50,7,66,11,4,38,18,115,21,50,11,30
"Clca4a",131.735465194137,0.569366769595095,0.418192084798613,0.00201484698470849,0.0390616010010739,149,95,287,110,51,105,100,239,63,173,77,169
"Clca2",345.979874078697,1.4457237342891,0.434505736812892,4.6040198196048e-06,0.000445018882563222,392,116,615,164,144,468,196,1317,157,372,80,301
"Gm36726",61.5490295888772,2.65015714040284,0.607130446063847,6.91909734592995e-09,2.66254698811776e-06,94,7,82,19,18,137,26,190,20,40,4,120
"Ptgfr",2352.94918948043,-0.818113119631916,0.23168228481219,2.36371781657827e-06,0.000275474427823508,1216,2787,1702,4683,3076,873,2647,1421,2448,1703,3671,2409
"Gm24494",194.530098728587,-0.804676805497376,0.317687219149741,6.17684018716229e-05,0.00336391178502802,177,160,120,284,302,112,250,216,222,97,274,131
"Gm2560",427.93108548718,0.423624835626307,0.183633036239048,0.000567837511248152,0.0165353268745677,380,235,548,470,362,427,389,654,302,568,393,555
"4930528A17Rik",103.846263915204,0.546912364775495,0.258565533767156,0.000403536497508686,0.0130736932297497,108,74,140,116,66,82,77,107,76,176,84,174
"Epha7",103.409318312108,0.581194290644948,0.633969894785117,0.00285754595700549,0.0498116664898521,48,28,109,30,45,192,142,398,108,41,12,118
"Cnr1",4777.36521722986,1.13999489375341,0.428273617595458,3.38071601829916e-05,0.00213603718699684,9556,1536,4020,2157,2159,8649,4600,11270,3890,2982,781,5929
"Dnaic1",63.7928802478924,0.740657790864885,0.395417455474673,0.000387223023763279,0.0126968063820773,61,39,135,58,51,40,40,59,27,114,60,103
"Cntfr",12175.5920566959,0.578886940942262,0.169133420042525,6.28899968198023e-06,0.000570062882284386,13680,7424,12753,11556,8449,15486,9886,19629,8055,22313,8876,12531
