"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Tlr3",124.432687149186,0.0401387194399289,0.156776107414161,0.36697197767336,0.785156408256356,77,257,150,64,91,104
"Sorbs2",28.8869558442327,0.0430047859088502,0.162234584566249,0.157006102241706,0.625963012241999,15,62,39,16,4,39
"Gm30759",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm16351",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC115485643",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51529",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm30635",2.458218421885,0.00994159762276531,0.15663321293134,0.305505002123069,NA,2,4,0,0,0,8
"Sorbs2os",11.0941702932993,0.0470253953439073,0.166198718148315,0.0145574944432684,0.218073831957419,4,20,4,4,0,34
"Pdlim3",2619.07053455467,0.656263167032475,0.245025938036305,0.000387767308211622,0.0220379286613976,1382,3271,2211,3120,2140,3893
"Ccdc110",29.0577093998336,0.0337669434241207,0.155730662067715,0.413276028719959,0.805907930878524,20,48,36,26,18,28
"1700029J07Rik",214.923948229625,0.143009182523883,0.238667978376936,0.0403400877491936,0.368152808018702,134,387,191,148,133,290
"Ufsp2",4697.26347637292,0.0279985031018902,0.134157320024029,0.70112358614358,0.914249034177436,3354,5771,5936,4167,4435,4915
"Ankrd37",195.986239622066,-0.425827325799803,0.334643013466541,0.00974237263392125,0.175750334968961,188,129,294,217,242,130
"Lrp2bp",48.9949903580147,0.0397031588974656,0.157288619024765,0.350687082308397,0.778384808841029,45,70,34,30,35,73
"Snx25",6158.36532917682,-0.10664440378018,0.150506991742392,0.207770442122823,0.676281371858466,5397,5253,9222,7480,5628,4951
"LOC118567567",8.88391928858499,-0.00963121978810192,0.154715528642077,0.703124144845554,0.914668568268711,12,11,9,10,7,3
"Cfap97",4724.16432258423,0.0870995273552319,0.164330630635438,0.226414196420098,0.694979517009067,3389,5974,5214,3569,3753,6628
"Slc25a4",97118.3218378988,-0.0433672155722449,0.13034293030179,0.672764395427083,0.905077934847604,69138,73511,125250,134270,108142,91983
"Gm30880",0,NA,NA,NA,NA,0,0,0,0,0,0
"Helt",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39168",1.54441538855063,0.0064378805920222,0.15639243213442,0.476366234708261,NA,0,2,0,6,2,0
"Gm30931",0,NA,NA,NA,NA,0,0,0,0,0,0
"Acsl1",7897.34842444163,0.00568836334105877,0.126961790860248,0.937819981794319,0.984827422715623,6139,5696,10205,11162,7262,8476
"Cenpu",4781.55328515684,0.0239284394624987,0.115581997228669,0.761341577839251,0.933270268653661,3473,4403,6243,6008,4494,4893
"Primpol",3773.31818876678,0.0048989678779552,0.137841643894211,0.953482456071331,0.988869896596259,2894,4563,5126,2686,3325,4291
"Gm45607",2.3519710359318,0.00564151053688802,0.155947564044775,0.688810322696497,NA,3,2,2,3,0,4
"Casp3",9694.52486158633,-0.0264588026853881,0.12351904091241,0.729172007586702,0.923895184267916,7850,7470,12977,11311,8994,11070
"Gm31111",23.1829129608057,-0.0302930642101069,0.15430619614293,0.471238688622165,0.829152055342576,23,16,27,24,27,23
"Gm16675",167.072622007204,-0.17425508216225,0.239916012207188,0.0585759985842417,0.442921463964316,133,154,233,141,232,124
"Irf2",5673.12677965268,-0.161387046422341,0.150359399494266,0.0904388914122391,0.529780276050507,4773,4971,8005,5939,5946,5106
"Gm31172",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39170",0.162188370265155,0.0030164267285396,0.156425427259905,0.829882553921128,NA,0,0,0,0,0,1
"LOC118567568",107.046880305342,0.0218371189987822,0.146821062222896,0.692878268382479,0.91149059520065,60,148,152,86,102,109
"Enpp6",107.770341077989,-0.165808571371627,0.235875395328513,0.060835038149927,0.450859892253164,90,70,184,101,120,102
"Gm31231",82.7945238241594,0.102815769487994,0.198273733291678,0.0499826646589332,0.408899882532564,38,134,86,48,48,148
"Gm51569",3.67274707934608,-0.00281552458589765,0.155827435388254,0.84046328559439,NA,4,0,9,8,0,3
"Stox2",8926.83683322818,0.130292511536735,0.178323540458173,0.129932703455362,0.595615205997428,6765,9418,10522,9340,6035,12438
"Gm51570",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39171",0.527677367161769,-0.00432601592240608,0.156493874920783,0.513609036760449,NA,0,0,4,0,0,0
"Gm22857",0,NA,NA,NA,NA,0,0,0,0,0,0
"Trappc11",18334.9257595869,0.00883467631799218,0.11690409751388,0.889493556685566,0.972454198219938,13222,15609,23299,24048,18350,18784
"Rwdd4a",13261.2903266718,-0.0625393592437588,0.119832462454434,0.439838040848794,0.818444151784773,10901,11705,17697,15277,12930,12822
"Gm39172",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ing2",3964.56053028083,-0.0994162927800458,0.139438499675327,0.250630493767335,0.714581241447084,3384,3069,5434,4201,3946,4260
"AA386476",483.018240078048,0.0569745005287869,0.15416590987439,0.362180001808814,0.782958103083834,398,582,453,342,404,704
"Gm31692",1.37424529190129,0.00822601435722149,0.156580640388778,0.306706492830835,NA,0,2,0,6,1,0
"Gm31638",3.13490846835478,0.00248145161470727,0.156021461522331,0.837281001961129,NA,0,0,10,6,0,6
"Cdkn2aip",4234.36867098672,0.0497906058938394,0.143331532803714,0.48017662849223,0.832003243058718,3528,4309,4993,3669,3208,5941
"Gm31786",13.754748968142,0.0143154702933742,0.15469556870457,0.617831122739195,0.884477607132833,6,6,9,17,20,27
"1700061N14Rik",1.91230725999145,0.0120844322483758,0.156759143347504,0.286189615732096,NA,0,2,0,4,2,4
"Cldn24",0.510510289948023,-0.00428022470401911,0.156490659300025,0.526420931377539,NA,0,0,0,0,3,0
"Cldn22",0.510510289948023,-0.00428022470401911,0.156490659300025,0.526420931377539,NA,0,0,0,0,3,0
"Wwc2",36368.0075944182,-0.148504605568569,0.158592288150521,0.114073250593234,0.574746645732599,32181,31958,51753,41345,36149,29371
"Gm39173",326.402569642131,0.0593629050296648,0.144214753827388,0.414274185321429,0.806656783577415,268,313,399,478,236,316
"Gm31984",103.28872888493,-0.0779581483959613,0.165919918472292,0.221338423448888,0.690778035849695,82,72,192,133,94,76
"Gm32052",0,NA,NA,NA,NA,0,0,0,0,0,0
"Dctd",6735.70739846276,-0.18918896866713,0.186933154600635,0.0650085117783074,0.465223710081767,5518,5759,9259,7740,8032,5006
"Gm39174",59.3009966271012,-0.0861696482853942,0.178347799093685,0.126562938567014,0.591405397498473,72,57,68,50,68,35
"Gm32194",3.17001622960274,0.00699047401415501,0.156142416440763,0.59232472326476,NA,0,10,4,0,3,2
"Gm51559",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32923",170.954944364599,0.0916320370185144,0.170334101604549,0.19203444181956,0.664094639798994,80,223,202,187,170,193
"Tenm3",19299.7368059955,0.0206057764964723,0.122346096669197,0.797223383308694,0.943903030968441,15841,18018,24971,21339,16003,21962
"Gm51531",0.131919341790442,-0.00307471390746001,0.156428808187635,0.79752438517304,NA,0,0,1,0,0,0
"Gm39178",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Gm19744",446.756282551886,0.0510864490101875,0.152483463029884,0.402740105744771,0.800672259121831,338,487,497,300,360,714
"Gm25830",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930555F03Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm2516",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm23986",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25813",0.544700293200692,7.42387368795593e-05,0.156316537417371,0.998622716833875,NA,0,0,2,2,0,0
"1190028D05Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39179",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39180",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm22841",0,NA,NA,NA,NA,0,0,0,0,0,0
"Aga",3622.85486065003,-0.0448289953263759,0.13119632412908,0.559794050457284,0.863419723221217,2659,3751,4679,4170,4056,2897
"Gm39181",16.7511641634045,0.0560780859794157,0.170011323026227,0.0234795236337499,0.284980797560618,4,28,14,6,2,48
"Neil3",506.082203254128,1.19022572090059,0.308762623596447,5.23578589643356e-06,0.000932430123779094,230,826,417,581,228,808
"LOC115487036",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33153",1.36136077319473,-0.00608479520717312,0.156587321788974,0.260107979154458,NA,0,0,0,0,8,0
"Vegfc",0,NA,NA,NA,NA,0,0,0,0,0,0
"Spcs3",15331.2076743851,0.0565825745853652,0.132961779286033,0.489317978188936,0.834735166270806,11408,17283,19821,15754,12756,16726
"Asb5",29.05443476101,-0.00655448400038925,0.151233346520332,0.864991368397095,0.963499420724241,37,22,26,26,21,39
"5330439A09Rik",0.542235549588791,0.00422357040447683,0.156484673839283,0.527806517888013,NA,0,3,0,0,0,0
"Gm46039",0,NA,NA,NA,NA,0,0,0,0,0,0
"Spata4",2.49331893888548,0.0130275063400101,0.15717642262107,0.0619990607056103,NA,0,12,0,0,0,2
"Wdr17",0.788646006824308,-0.00374079821355098,0.156354714960066,0.578743859684516,NA,2,1,0,0,1,0
"Gpm6a",13.1520186332922,-0.00856329316533388,0.156755918591813,0.0786357537954585,0.502948365106188,46,2,0,0,16,0
"LOC118567569",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC115486929",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51571",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51572",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567572",0.421292414429711,0.00405263010375001,0.156473628606642,0.585321688311165,NA,0,0,0,3,0,0
"Gm51590",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567575",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51591",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51573",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51592",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51593",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51594",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567577",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567578",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51595",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51596",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51597",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51598",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567579",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567581",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51600",0,NA,NA,NA,NA,0,0,0,0,0,0
"Adam29",0,NA,NA,NA,NA,0,0,0,0,0,0
"Glra3",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Hpgd",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930518J21Rik",1.13531859185609,0.00525049453375331,0.156539776118401,0.334509802920641,NA,0,0,0,0,0,7
"Gm24375",0,NA,NA,NA,NA,0,0,0,0,0,0
"Cep44",9888.24309401116,0.0309088746639834,0.115802292772417,0.696870529733365,0.91307852641196,7480,8783,12446,12395,9132,10649
"Fbxo8",6076.50397607082,0.0814547072620317,0.139070331425307,0.335076729943254,0.76893156237006,4631,5719,7420,6763,4940,7769
"Gm33501",0,NA,NA,NA,NA,0,0,0,0,0,0
"Hand2os1",8367.10096290698,0.0212405574726176,0.132933701252874,0.768272645601626,0.935958139095063,6053,5551,10912,12452,7729,9468
"Hand2",70854.4079984941,0.0425424012043079,0.135003733035261,0.568701943849139,0.867956263310609,52343,54818,82157,115212,67566,67669
"Gm34030",1430.44464443994,-0.040065201652044,0.139939839124413,0.564580016122705,0.866155698883907,981,947,1902,2160,1691,1249
"Hdnr",1930.26347957933,-0.121871096239894,0.15739084005674,0.166153866022086,0.635671728567152,1672,1849,2705,1708,1981,1827
"Gm34099",46.2672501549112,-0.0255289684824261,0.154755872879391,0.488248152165491,0.834583033552296,32,10,78,91,55,31
"Scrg1",4.30452267064804,-0.0103715325169138,0.155813577720005,0.575959761597974,NA,8,4,2,4,4,2
"Sap30",11866.7571837728,-0.0398062767277232,0.125223735493496,0.573778564856306,0.869285611316609,9851,9058,15636,15586,11393,11612
"2500002B13Rik",456.149279564588,-0.0280658221443316,0.127304196276143,0.708250382213086,0.916397738944889,383,406,595,489,423,492
"Hmgb2",72779.7333012473,0.0379596633343482,0.123858566185795,0.629420899170452,0.888171699687028,55566,71429,89432,75615,66263,86414
"Galnt7",5830.67986654235,-0.0349992622367795,0.137404757756143,0.581851748862075,0.8710688583126,5199,5454,8071,4607,5030,7025
"Gm51574",1.25551717569198,0.00120663530269799,0.156124985034893,0.90321797213399,NA,2,2,1,0,0,2
"Gm25379",0,NA,NA,NA,NA,0,0,0,0,0,0
"AW046200",67.4733587100911,-0.0111165402144989,0.14721464577541,0.825276506489576,0.951951411233991,52,76,101,44,59,79
"Galntl6",27.69560294499,0.0362449129925959,0.156037351354749,0.393415707015687,0.796710736500354,17,34,19,38,32,28
"Gm2921",7.3192111081561,-0.00526463015039462,0.154912440674028,0.811671317326463,0.947658687660714,10,11,11,5,2,4
"Gm15881",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC115487053",0,NA,NA,NA,NA,0,0,0,0,0,0
"BC030500",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm34370",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm34420",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930470O06Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm26164",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm34623",0,NA,NA,NA,NA,0,0,0,0,0,0
"Aadat",0.263838683580884,-0.00379191282105339,0.156459810701628,0.677553349884161,NA,0,0,2,0,0,0
"LOC118567584",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Gm34730",2.38689046370074,0.00151008541791995,0.155807603229318,0.91598189342782,NA,4,2,2,4,0,2
"Mfap3l",645.746701758459,0.0597853185346537,0.150773705221133,0.379050434525487,0.791330088413367,518,777,715,513,504,862
"LOC118567585",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Gm45650",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Hpf1",11475.3327614165,-0.0749586228908734,0.124274843305679,0.371840769925379,0.787728803017391,8955,10147,15898,12166,11621,11703
"Clcn3",9190.50447808293,0.194140217677863,0.205338508191686,0.0663944397411904,0.468183495033072,6818,9849,10559,10537,6306,12161
"Nek1",3589.11595223546,0.150787513267734,0.229239821415523,0.0628407400717243,0.45905464363888,2468,4703,3815,2683,2188,5836
"Sh3rf1",1683.59598166043,0.10281598551243,0.15586247044543,0.225840682606791,0.694776013847118,1293,1408,1982,2613,1280,1849
"1700001D01Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm40499",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Gm10015",617.114126109006,-0.0823419006527269,0.138438874010739,0.315531627257791,0.760091812050594,476,488,832,742,682,584
"5730405A17Rik",0.499726973109159,0.000631990340689698,0.156326644745054,0.873206589127293,NA,1,0,0,2,0,0
"LOC118567586",0,NA,NA,NA,NA,0,0,0,0,0,0
"Cbr4",2648.37592322455,0.0534647455218808,0.139318572638284,0.47329204728734,0.830152402811091,1823,2980,3175,2355,2509,3294
"Palld",2149.07556795858,0.0458017358616878,0.135778760863253,0.540640161489473,0.857645969453118,1577,1573,2678,3326,1898,2320
"Gm35254",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51576",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930512H18Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ddx60",12.726832863731,-0.0141209519914928,0.155981830216593,0.494730047632859,0.836494336774113,16,8,6,0,22,20
"Anxa10",0,NA,NA,NA,NA,0,0,0,0,0,0
"Spock3",1.31319218093611,-0.00585216480280725,0.156574485967299,0.276664536284214,NA,6,0,0,0,0,0
"Gm24236",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35368",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35424",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24580",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sgo2b",3.45062785036836,-0.0112840185695161,0.156359048607597,0.442064290713214,NA,2,4,2,0,10,2
"Tll1",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567587",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35472",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35521",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir710",0,NA,NA,NA,NA,0,0,0,0,0,0
"Cpe",15396.2092181914,-0.17267857021386,0.156044189283679,0.0750513072021155,0.493163227325205,13491,12404,21866,15822,15639,15006
"Msmo1",5722.62597468803,-0.092671069583245,0.139547254218243,0.294925996387053,0.746899606886429,4349,5509,7785,6420,6358,4714
"Klhl2",6029.82520465603,-0.0153597263339295,0.120892919641305,0.842087241810399,0.957111358401067,5034,5108,7982,7746,5286,5947
"Gm46040",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"LOC118567588",1.81193822684722,0.00698779731981851,0.156398155764349,0.471092790005286,NA,0,0,3,2,0,7
"Gm40501",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32507",0,NA,NA,NA,NA,0,0,0,0,0,0
"Tmem192",5171.67813975611,-0.0193949757902916,0.137376387934874,0.758570563508983,0.93228605489261,3903,3200,6155,8308,5853,4713
"Trim75",0,NA,NA,NA,NA,0,0,0,0,0,0
"Trim60",0,NA,NA,NA,NA,0,0,0,0,0,0
"Trim61",0,NA,NA,NA,NA,0,0,0,0,0,0
"Apela",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39183",0,NA,NA,NA,NA,0,0,0,0,0,0
"Smim31",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39184",0,NA,NA,NA,NA,0,0,0,0,0,0
"Marchf1",6.79939694343652,0.021729440698272,0.156710865304617,0.375412212986363,0.789724237711182,4,8,4,7,6,12
"Gm23515",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm26123",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24205",29.8688661004714,0.0822694963381258,0.180083022156336,0.0915364137855704,0.532403599935385,13,29,30,61,22,34
"Tma16",4131.81061803884,-0.0643659223055679,0.131154402912078,0.41973194666391,0.809034001222001,3133,4197,5836,4215,4246,3719
"Tktl2",1.13956128666991,-0.00326519263864056,0.156270018590604,0.692574866579752,NA,2,2,0,0,2,0
"Npy5r",0.722980732785055,0.00442167515586283,0.156498492057176,0.459292358158771,NA,0,4,0,0,0,0
"Npy1r",0.437730726978703,-0.00412998642575938,0.156480519528188,0.572330457166888,NA,2,0,0,0,0,0
"Naf1",5634.56651013038,-0.0622200753918077,0.129114285131234,0.432545438569191,0.816411870186695,4399,5546,7760,6448,5737,4710
"Gm39185",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25275",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm32623",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24274",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm24677",0,NA,NA,NA,NA,0,0,0,0,0,0
"Nat1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Nat2",146.57824852876,-0.0780681783393045,0.169908648430812,0.185371812492743,0.657306411242515,164,152,194,74,146,138
"Nat3",0,NA,NA,NA,NA,0,0,0,0,0,0
"Psd3",7.7605968422472,-0.0194229866304353,0.157709654584664,0.155581491930699,0.624692921592395,23,6,0,2,8,0
"Gm32888",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567589",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Gm15991",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"LOC115485644",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sh2d4a",0.722980732785055,0.00442167515586283,0.156498492057176,0.459292358158771,NA,0,4,0,0,0,0
"Csgalnact1",1.41086094856963,0.00298723633382054,0.156299512158043,0.69266944848707,NA,2,0,0,0,0,6
"1700125H03Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ints10",11121.5258837669,-0.0465798615437646,0.128819360697937,0.538601007704058,0.856264456599441,8590,8676,14195,15175,12032,10002
"Gm51577",4.72024895587071,0.0143608927124618,0.156685669194666,0.35004651225598,NA,4,9,2,0,1,11
"Lpl",2.25877072438491,-0.00782073965127675,0.156321967803776,0.493791926136491,NA,6,0,0,2,2,2
"Gm32997",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33103",17.5259997990986,-0.00806017468907255,0.154030640427897,0.775541542265715,0.937839728101584,6,10,50,32,9,11
"Gm33052",0,NA,NA,NA,NA,0,0,0,0,0,0
"Slc18a1",353.100205195918,0.0646724345603138,0.151741328615947,0.352548773493786,0.7788374230956,245,253,447,617,279,374
"Atp6v1b2",55815.7872131848,-0.0542706576097767,0.146760346641549,0.439929189314327,0.818444151784773,42345,35527,73451,89801,65090,41617
"Lzts1",1406.8469031878,0.574006185119876,0.438274463253643,0.00607766977661415,0.134347450110789,753,1022,1324,1822,886,2935
"Gm39187",0.263838683580884,-0.00379191282105339,0.156459810701628,0.677553349884161,NA,0,0,2,0,0,0
"Gm39188",7.48228706275114,-0.00112373789204298,0.154318345075118,0.961785835163658,0.991191481183007,3,6,12,6,9,11
"Zfp930",1876.91785053279,0.0764913495869336,0.170273201099085,0.179975555496972,0.653039526730342,1175,2708,1775,901,1588,3079
"D130040H23Rik",785.02268591197,0.210846551250672,0.438842653753157,0.00878362783043415,0.165630645678695,440,1290,657,388,315,1608
"Gm10033",450.442415730234,0.0717190749452915,0.171172876354801,0.152491066793767,0.619923997546483,300,709,413,170,309,775
"Gm9495",15.0540560004852,0.0148018403806338,0.154247638248503,0.634592201685424,0.890616849811079,7,9,15,13,18,31
"Gm7697",30.1200287632424,0.0571007389194301,0.167068388679945,0.130576504703924,0.595615205997428,16,20,25,26,20,78
"Zfp868",3089.46800168611,0.0783722372797124,0.125549145677621,0.340229877426157,0.771964810418779,2240,2870,3733,3895,2798,3483
"Zfp964",804.978227088826,0.04340693133717,0.140080434738647,0.541718258331654,0.858099006531872,627,990,977,714,670,898
"Zfp869",10652.3551604798,0.0427006958038841,0.125948016271988,0.593218593896074,0.874628998156068,7994,9991,13610,11356,9341,13054
"Gm51532",108.991084485086,0.0013893019326206,0.139456105363382,0.984688221669239,0.996062486817906,88,110,132,103,104,125
"Zfp963",928.876050997268,0.0567422067533285,0.130635134603952,0.473320732338451,0.830152402811091,653,922,1133,1000,875,1113
"Zfp866",5591.80828629644,0.121060336059819,0.17392723225,0.155105664175206,0.624308712994028,4007,6274,6542,5261,4203,7792
"Atp13a1",25202.2447650172,-0.0112474974660066,0.121343900391193,0.928025647921342,0.983188533033183,19856,20918,31745,34901,24347,23698
"Gmip",3017.7519957239,-0.0821879796298775,0.127240842808603,0.324000252925742,0.763852773189541,2378,2470,4043,3433,3189,3038
"Gm33695",0.464807545340214,0.0041193705306782,0.156477881757672,0.562814847395371,NA,0,0,0,1,0,2
"Lpar2",301.44727352736,0.0497156298356549,0.152575558234884,0.410386849659996,0.805204742521908,186,158,334,550,298,371
"Pbx4",2399.28152378711,-0.0957021530403487,0.16595904285309,0.204651239954141,0.673031739344354,1935,1448,3272,3586,2886,1774
"Cilp2",68.770351806845,0.0526741678557419,0.158838263994546,0.310810676863431,0.757280898022997,38,52,93,144,50,62
"Gm33746",8.16255993899265,-0.019433929614064,0.15623339837685,0.430315652604275,0.815232533430952,6,2,20,12,7,6
"Yjefn3",4067.66427877746,-0.0123496000162163,0.144524860873126,0.826869880295292,0.952311778311328,2866,2024,4580,7849,5049,3138
"Ndufa13",20242.409172441,-0.0961237751274684,0.156608620319223,0.230983540951765,0.698600235108044,14882,15375,24633,26457,27143,16169
"Tssk6",20.2388554996198,0.0252643514918438,0.155142771592343,0.475323214987871,0.830830750562779,19,22,19,40,11,13
"Gatad2a",55671.3449404655,-0.0875480848709347,0.136229696022697,0.293342547717345,0.746562400803797,44396,43414,72865,71326,61199,49725
"Mau2",17277.9187728886,0.0609325294258476,0.121529601649498,0.457224985502205,0.823532714299492,12663,15760,21408,23038,15678,18069
"Sugp1",10760.4230308976,-0.0154128751214346,0.131144922625971,0.825177168874826,0.951951411233991,7994,8426,13666,16509,11314,8887
"Tm6sf2",40.6020699658637,-0.0175156701035204,0.150313040130267,0.698728367813941,0.913351942452862,29,30,78,38,29,51
"Hapln4",31.6286259710543,0.00398330369331161,0.151007607404833,0.923155830078634,0.981681641715105,29,13,39,56,24,36
"Ncan",4552.9037007855,-0.0492455710825218,0.14201650848171,0.496224437346955,0.836732826048754,3756,2838,6139,7016,4620,3925
"Mir7066",0.444583866777148,-0.000934762014972422,0.156330915583232,0.858154424602857,NA,0,1,2,0,0,0
"Gm25906",0,NA,NA,NA,NA,0,0,0,0,0,0
"Rfxank",1292.63161329927,0.0499886828793955,0.138042441549575,0.509170844713121,0.842274423924258,919,1643,1533,1402,1219,1159
"Nr2c2ap",4152.33808879686,-0.0433570910920089,0.141860277498577,0.533612328012546,0.854314684187924,3234,3060,5203,6575,4730,2940
"Gm45929",4795.50734341675,-0.0157945467575814,0.125334477213148,0.83617309571173,0.956079101509408,3443,3848,6014,6708,5209,4468
"Borcs8",7674.38129781887,-0.0513838228430377,0.127275458393949,0.521125385760395,0.848671693046905,5686,6561,9584,9795,8772,6853
"Mef2b",3790.24581109373,-0.0115007057946554,0.12681630875339,0.875606403480511,0.967588729959595,2714,2953,4799,5448,4056,3540
"Tmem161a",6722.97790977043,-0.0122606952287594,0.132422299197088,0.841157583056838,0.957047723034546,5215,5332,8225,10508,7008,5331
"Slc25a42",1103.99579644691,0.122193997414025,0.158602826013227,0.167160578833867,0.636895852464498,803,1109,1343,1280,848,1397
"Armc6",5970.84824942096,-0.0325774208867529,0.140964723721032,0.60600461087601,0.87937143822451,4397,4292,7562,9818,6930,4175
"Sugp2",9415.02485234448,-0.0199936861647738,0.114458605726985,0.797445234351072,0.943903030968441,7645,8734,11844,10624,9057,9665
"Gm38427",5.27618900900835,0.0277553529363402,0.159258040658119,0.103041408276965,NA,3,4,0,8,2,15
"Homer3",4232.13588423551,0.0214422444460556,0.128295832295012,0.776901421993327,0.938194061387022,2956,3149,4990,5937,4499,4676
"Ddx49",22748.3618936182,-0.0296894452855026,0.139083627781748,0.659088648799356,0.899954478941091,16301,15639,27895,36778,27085,17882
"Cope",37402.7879907191,-0.0243340348129753,0.139133200030186,0.707586757640455,0.916395367280576,27486,26124,43838,61866,44643,28346
"Gdf1",1272.26133351426,0.0358185182419926,0.141112906127072,0.601507629616178,0.878053957720461,873,778,1520,2105,1246,1433
"Cers1",1272.26133351426,0.0358185182419926,0.141112906127072,0.601507629616178,0.878053957720461,873,778,1520,2105,1246,1433
"Upf1",21008.9130693769,-0.022540541119692,0.122142273279756,0.837424785659487,0.956100176894523,16320,17629,26555,28849,20990,19264
"Gm51533",4.74703566965024,-0.00649510534247124,0.155720252274154,0.69871693888769,NA,6,2,9,11,2,0
"Comp",11.1003769805196,0.0170185089689853,0.15554247007744,0.516085734510534,0.84570760982191,10,10,2,18,12,14
